date,department,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
2/4/2015,sweing,3,0.8,22.52,968.0,6840,113,0.0,0,0,57.0,1.000230409
1/26/2015,sweing,10,0.75,22.52,1250.0,10080,55,0.0,0,0,56.0,0.800020563
2/17/2015,sweing,1,0.8,22.52,1445.0,6840,113,0.0,0,0,57.0,1.000230409
1/24/2015,finishing ,9,0.6,3.94,,1440,0,0.0,0,0,8.0,0.261174242
1/17/2015,sweing,4,0.7,22.52,825.0,10170,50,0.0,0,0,56.5,0.7005417
2/4/2015,finishing,6,0.7,2.9,,960,0,0.0,0,0,8.0,0.531666667
2/26/2015,sweing,10,0.7,21.82,1591.0,3240,0,0.0,0,1,52.0,0.700251773
1/20/2015,sweing,3,0.7,22.52,1134.0,8460,50,0.0,0,0,57.0,0.750037968
1/21/2015,finishing ,5,0.7,4.15,,2400,0,0.0,0,0,8.0,0.758173077
2/19/2015,finishing,12,0.8,5.13,,2160,0,0.0,0,0,9.0,0.609583333
2/19/2015,finishing,6,0.8,2.9,,4320,0,0.0,0,0,18.0,0.785864198
1/15/2015,sweing,12,0.8,11.61,1216.0,4950,50,0.0,0,0,31.5,0.80003139
2/22/2015,sweing,10,0.7,21.25,1531.0,6000,0,0.0,0,1,50.0,0.456875
2/8/2015,finishing,7,0.7,4.15,,1440,0,0.0,0,0,12.0,0.928680556
2/5/2015,sweing,9,0.8,29.12,1069.0,6960,50,0.0,0,0,58.0,0.799963218
2/25/2015,sweing,10,0.7,21.82,1653.0,6240,0,0.0,0,2,52.0,0.700058333
1/5/2015,sweing,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.800246011
2/22/2015,sweing,7,0.75,30.1,627.0,6960,0,3.5,20,1,58.0,0.393548851
2/25/2015,sweing,11,0.75,11.61,635.0,3360,45,0.0,0,0,57.0,0.750503571
3/1/2015,sweing,5,0.6,27.48,549.0,6720,38,0.0,0,0,56.0,0.707446429
1/13/2015,sweing,5,0.7,20.79,1297.0,10440,0,0.0,0,0,58.0,0.526810345
2/9/2015,sweing,3,0.8,22.52,1271.0,5400,50,0.0,0,0,57.0,0.800161172
1/10/2015,finishing ,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.817102273
2/22/2015,sweing,12,0.8,15.26,1103.0,4080,63,0.0,0,0,34.0,0.800401961
3/8/2015,sweing,10,0.7,21.82,1335.0,6000,30,0.0,0,0,50.0,0.700422
1/10/2015,sweing,3,0.75,19.87,1075.0,7080,45,0.0,0,0,56.0,0.750098351
1/25/2015,sweing,10,0.75,22.52,1413.0,10080,69,0.0,0,0,56.0,0.800020563
2/17/2015,finishing,3,0.5,5.13,,1800,0,0.0,0,0,15.0,0.7866
1/7/2015,sweing,9,0.8,26.16,1324.0,10620,75,0.0,0,0,59.0,0.850502311
3/3/2015,finishing,1,0.7,3.94,,3360,0,0.0,0,0,8.0,0.555430556
1/6/2015,finishing ,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.61625
2/14/2015,finishing,4,0.75,4.15,,2400,0,0.0,0,0,20.0,0.902916667
1/22/2015,sweing,5,0.7,20.4,1480.0,10440,40,0.0,0,0,58.0,0.700250784
1/17/2015,sweing,9,0.8,26.16,1128.0,10620,63,0.0,0,0,59.0,0.800117103
2/2/2015,finishing ,10,0.8,3.94,,1200,0,0.0,0,0,10.0,0.85695
1/11/2015,finishing ,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.590435606
1/13/2015,sweing,6,0.8,11.61,1004.0,5670,50,0.0,0,0,31.5,0.800246753
2/12/2015,finishing,2,0.8,3.94,,2160,0,0.0,0,0,18.0,0.601944444
1/18/2015,sweing,5,0.6,20.4,1031.0,10440,30,0.0,0,0,58.0,0.600062696
1/29/2015,sweing,9,0.7,29.12,1170.0,6960,53,0.0,0,0,58.0,0.850170115
2/16/2015,sweing,5,0.8,30.1,461.0,0,0,0.0,0,0,59.0,0.800980392
1/14/2015,sweing,6,0.8,11.61,972.0,5670,38,0.0,0,0,31.5,0.800246753
1/14/2015,finishing ,11,0.8,4.15,,1980,0,0.0,0,0,7.0,0.934607438
2/19/2015,finishing,10,0.8,3.94,,2400,0,0.0,0,0,10.0,0.733277778
3/9/2015,finishing,9,0.75,2.9,,0,3600,0.0,0,0,15.0,0.841
2/4/2015,sweing,12,0.8,15.26,1094.0,4080,38,0.0,0,0,34.0,0.800401961
3/1/2015,sweing,10,0.7,21.82,1393.0,5640,30,0.0,0,0,52.0,0.700236601
2/7/2015,finishing,7,0.7,3.94,,1200,0,0.0,0,0,10.0,0.715766667
1/19/2015,sweing,10,0.7,22.52,938.0,10080,63,0.0,0,0,56.0,0.750057359
2/14/2015,sweing,4,0.75,30.1,481.0,7140,0,0.0,0,1,59.0,0.750392157
1/22/2015,sweing,11,0.7,14.89,1863.0,10260,50,0.0,0,0,57.0,0.700170388
